Length,Has_Upper,Has_Lower,Has_Digits,Has_Special,Unique_Chars,Entropy,Label,Password
13,1,1,1,1,12.0,3.546593564294939,0,)D../zAsBQ9iE
17,1,1,1,1,15.0,3.807763576417195,0,+y*I;q:;d4DunX;/x
8,0,1,0,0,8.0,3.0,1,gqvwxysb
12,1,1,1,1,11.0,3.418295834054489,0,"xR3""Ui<8A2;R"
7,0,1,0,0,6.0,2.521640636343318,1,welcome
5,0,1,0,0,1.0,0.0,1,zzzzz
20,1,1,1,1,17.0,4.021928094887362,0,"uD3[2Y*37f)>,ZZ=xxQd"
18,1,1,1,1,15.0,3.8365916681089782,0,C$~y$Qvom&>SS?4@jC
9,0,1,1,0,8.0,2.94770277922009,1,abc265933
11,1,1,1,1,11.0,3.459431618637298,0,9W'l6Lk;~fp
6,0,1,0,0,6.0,2.584962500721156,1,slgizm
9,0,1,1,0,6.0,2.503258334775646,1,abc166441
16,1,1,1,1,13.0,3.625,0,++NN<oggt/u}kPV5
8,0,1,1,0,8.0,3.0,1,mkvsw123
17,1,1,1,1,16.0,3.969815782426811,0,n.Fg<;*G8\CE`I&gr
20,1,1,1,1,19.0,4.221928094887362,0,jcIMUP*jf7h~;{B1&V%$
17,1,1,1,1,17.0,4.08746284125034,0,HJ1XoI*/KyRr$8#ai
6,0,1,0,0,5.0,2.2516291673878226,1,kuusfq
8,0,0,1,0,5.0,2.1556390622295662,1,11201979
8,0,1,1,0,7.0,2.75,1,david280
17,1,1,1,1,16.0,3.969815782426811,0,8f*j]:yc:}LgI.-\W
7,1,0,0,0,6.0,2.5216406363433186,1,RRCPVAN
5,0,1,0,0,3.0,1.3709505944546687,1,fqqlq
11,1,1,1,1,11.0,3.459431618637298,0,{Zos1^KcL6>
10,0,0,1,0,7.0,2.646439344671016,1,4959137116
8,0,0,1,0,5.0,2.25,1,08141980
17,1,1,1,1,16.0,3.969815782426811,0,F&;c>8(g=8j-\N[Q^
14,1,1,1,1,13.0,3.6644977792004623,0,>G#H@!tl3^gJA>
7,0,1,1,0,6.0,2.5216406363433186,1,emma347
11,1,1,1,1,11.0,3.459431618637298,0,"A6mEzi/5""Be"
7,0,1,0,0,6.0,2.521640636343318,1,letmein
8,0,0,1,0,6.0,2.5,1,03061953
18,1,1,1,1,15.0,3.8365916681089782,0,<nl8C[LS*B&QQ8BU^F
8,0,1,1,0,7.0,2.75,1,abc45771
8,0,1,1,0,7.0,2.75,1,ztzup123
17,1,1,1,1,16.0,3.969815782426811,0,3Xa_Ag}:GivniS~14
9,1,0,0,0,8.0,2.94770277922009,1,DUEGMZUBJ
8,0,1,1,0,8.0,3.0,1,nsyxw123
8,0,0,1,0,6.0,2.5,1,08221961
18,1,1,1,1,18.0,4.169925001442312,0,"~Atv/*[E""01B,>}Xk4"
20,1,1,1,1,18.0,4.121928094887362,0,94hSOj?ti8M4T=J=#uN.
9,0,1,1,0,8.0,2.94770277922009,1,abc561369
11,1,1,1,1,11.0,3.459431618637298,0,CY\f9Nv&~/J
7,0,1,0,0,6.0,2.521640636343318,1,cggukaf
14,1,1,1,1,11.0,3.378783493486176,0,=3=r#d~~jE;-jc
8,0,1,1,0,8.0,3.0,1,lzybj123
16,1,1,1,1,15.0,3.875,0,wy^Y9eg26#H&9(S)
4,0,0,1,0,3.0,1.5,1,8447
15,1,1,1,1,14.0,3.773557262275185,0,FNl]ljwR8`Z!)HK
14,1,1,1,1,14.0,3.8073549220576055,0,]X^c7'3O?N}amp
10,1,1,1,1,10.0,3.321928094887362,0,N5l'EK3{D;
18,1,1,1,1,15.0,3.794653473544342,0,x/;2[I_dd<d:4L**?]
9,0,1,1,0,8.0,2.9477027792200903,1,abc911036
17,1,1,1,1,15.0,3.8521687236032816,0,"A7|9S,q$7vnScZK:("
5,0,1,0,0,4.0,1.9219280948873625,1,urlrw
15,1,1,1,1,13.0,3.640223928941852,0,!y3CX'_J!C6:dI(
8,0,0,1,0,5.0,2.1556390622295662,1,09111987
8,0,1,1,0,7.0,2.75,1,abc64403
16,1,1,1,1,15.0,3.875,0,piR>YyDf96y|1Bn-
5,0,1,0,0,5.0,2.321928094887362,1,gkfxb
6,0,0,1,0,5.0,2.251629167387823,1,749596
11,1,1,1,1,11.0,3.459431618637298,0,iXbW8`wz3ts
6,0,1,1,0,6.0,2.584962500721156,1,abc123
8,0,1,1,0,8.0,3.0,1,abc40367
7,0,1,0,0,7.0,2.807354922057604,1,wyjsvaz
8,0,0,1,0,6.0,2.4056390622295662,1,12181964
5,0,1,0,0,5.0,2.321928094887362,1,lvzri
10,0,0,1,0,7.0,2.7219280948873625,1,7971195432
19,1,1,1,1,16.0,3.9321380397593737,0,"O,!J,evwOh=auQ>5k5A"
15,1,1,1,1,11.0,3.32323142879762,0,+`TfT.F+3`{d+s?
16,1,1,1,1,13.0,3.577819531114783,0,~5~DBZcqTvVC~cey
5,0,1,0,0,5.0,2.321928094887362,1,mjhsc
17,1,1,1,1,15.0,3.8521687236032816,0,lT035*$'yldqLxn*4
8,0,0,1,0,5.0,2.25,1,06262019
16,1,1,1,1,15.0,3.875,0,@MSc8ac)C~p'q&wY
9,1,0,0,0,8.0,2.94770277922009,1,DRVNMXMOK
7,1,0,0,0,6.0,2.5216406363433186,1,YVMQXKM
15,1,1,1,1,14.0,3.773557262275185,0,|&xtF&c*NP8f#6z
7,1,0,0,0,7.0,2.807354922057604,1,PLRQGZW
13,1,1,1,1,13.0,3.7004397181410926,0,"<wgj,5]pxVN#C"
10,0,0,1,0,6.0,2.4464393446710155,1,4989569477
20,1,1,1,1,18.0,4.121928094887362,0,k(yE|tDK~IO4jErQ8J=I
14,1,1,1,1,14.0,3.8073549220576055,0,"kh]t3<:[Tn;p""G"
19,1,1,1,1,16.0,3.932138039759373,0,:R-8kc+f.fdvR}<+t[?
20,1,1,1,1,16.0,3.884183719779189,0,kPw.;{]M.S]<Y5qTo]6;
6,0,0,1,0,6.0,2.584962500721156,1,123456
7,0,1,1,0,7.0,2.807354922057604,1,john481
4,0,1,0,0,4.0,2.0,1,mwzk
17,1,1,1,1,16.0,3.969815782426811,0,"j1_jG]>""Z[|tMrEW2"
